Timestamp,Endpoint,Test Type,Location,Provider,Response Time (ms)
2025-12-28 22:01:01,"Cape Town, ZA [AWS] - HTTP",HTTP,"Cape Town, ZA",AWS,867
2025-12-28 22:01:01,"Montreal, CA [AWS] - HTTP",HTTP,"Montreal, CA",AWS,152
2025-12-28 22:01:01,"São Paulo, BR [AWS] - DNS",DNS,"São Paulo, BR",AWS,52
2025-12-28 22:01:01,"Jakarta, ID [AWS] - DNS",DNS,"Jakarta, ID",AWS,46
2025-12-28 22:01:01,"Melbourne, AU [AWS] - PING",PING,"Melbourne, AU",AWS,265
2025-12-28 22:01:01,"Seoul, KR [AWS] - HTTP",HTTP,"Seoul, KR",AWS,761
2025-12-28 22:01:01,"San Jose, CA [AWS] - DNS",DNS,"San Jose, CA",AWS,47
2025-12-28 22:01:01,"San Jose, CA [AWS] - PING",PING,"San Jose, CA",AWS,76
2025-12-28 22:01:01,"São Paulo, BR [AWS] - HTTP",HTTP,"São Paulo, BR",AWS,470
2025-12-28 22:01:01,"Tokyo, JP [AWS] - PING",PING,"Tokyo, JP",AWS,211
2025-12-28 22:01:01,"Osaka, JP [AWS] - DNS",DNS,"Osaka, JP",AWS,49
2025-12-28 22:01:01,"Melbourne, AU [AWS] - HTTP",HTTP,"Melbourne, AU",AWS,866
2025-12-28 22:01:01,"Sydney, AU [AWS] - DNS",DNS,"Sydney, AU",AWS,65
2025-12-28 22:01:01,"San Jose, CA [AWS] - HTTP",HTTP,"San Jose, CA",AWS,333
2025-12-28 22:01:01,"Tokyo, JP [AWS] - HTTP",HTTP,"Tokyo, JP",AWS,707
2025-12-28 22:01:01,"Jakarta, ID [AWS] - PING",PING,"Jakarta, ID",AWS,291
2025-12-28 22:01:01,"Sydney, AU [AWS] - PING",PING,"Sydney, AU",AWS,229
2025-12-28 22:01:01,"Portland, OR [AWS] - DNS",DNS,"Portland, OR",AWS,83
2025-12-28 22:01:01,"Paris, FR [AWS] - DNS",DNS,"Paris, FR",AWS,51
2025-12-28 22:01:01,"Osaka, JP [AWS] - PING",PING,"Osaka, JP",AWS,220
2025-12-28 22:01:01,"Osaka, JP [AWS] - HTTP",HTTP,"Osaka, JP",AWS,710
2025-12-28 22:01:01,"Ashburn, VA [AWS] - DNS",DNS,"Ashburn, VA",AWS,79
2025-12-28 22:01:01,"Jakarta, ID [AWS] - HTTP",HTTP,"Jakarta, ID",AWS,866
2025-12-28 22:01:01,"Sydney, AU [AWS] - HTTP",HTTP,"Sydney, AU",AWS,866
2025-12-28 22:01:01,"Seoul, KR [AWS] - DNS",DNS,"Seoul, KR",AWS,80
2025-12-28 22:01:01,"Portland, OR [AWS] - PING",PING,"Portland, OR",AWS,75
2025-12-28 22:01:01,"Paris, FR [AWS] - PING",PING,"Paris, FR",AWS,88
2025-12-28 22:01:01,"Ashburn, VA [AWS] - PING",PING,"Ashburn, VA",AWS,16
