Endpoint,Test Type,Location,Provider,Sample Count,Min (ms),Average (ms),Max (ms),Std Dev (ms),Latest (ms),First (ms),Trend (%),Status
"Paris, FR [AWS] - PING",PING,"Paris, FR",AWS,10,86,95,122,34447.36,86,91,-5.49,STEADY
"Portland, OR [AWS] - DNS",DNS,"Portland, OR",AWS,10,71,93,156,346685.44,79,83,-4.82,STEADY
"Portland, OR [AWS] - HTTP",HTTP,"Portland, OR",AWS,10,315,363,492,8707810.81,321,407,-21.13,STEADY
"Portland, OR [AWS] - PING",PING,"Portland, OR",AWS,10,73,82,122,51166.44,73,75,-2.67,STEADY
Pune (India),OTHER,Pune (India),N/A,7,22,49,172,6351120.02,32,172,-81.40,IMPROVED
Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,7,810,840,893,824204.59,815,893,-8.73,STEADY
"Riyadh, SA [AWS] - DNS",DNS,"Riyadh, SA",AWS,10,50,79,149,625206.49,62,86,-27.91,STEADY
"Riyadh, SA [AWS] - HTTP",HTTP,"Riyadh, SA",AWS,10,692,1401,3193,403417300921.96,3193,758,321.24,DEGRADED
"Riyadh, SA [AWS] - PING",PING,"Riyadh, SA",AWS,10,201,214,246,46785.69,205,246,-16.67,STEADY
Router,OTHER,Router,N/A,7,673,676,680,59.51,675,675,0.00,STEADY
"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,7,46,96,259,24423364.00,61,259,-76.45,IMPROVED
"San Jose, CA [AWS] - DNS",DNS,"San Jose, CA",AWS,10,47,87,127,190794.24,82,47,74.47,DEGRADED
"San Jose, CA [AWS] - HTTP",HTTP,"San Jose, CA",AWS,10,314,351,499,8075827.24,319,333,-4.20,STEADY
"San Jose, CA [AWS] - PING",PING,"San Jose, CA",AWS,10,73,84,127,74802.25,76,76,0.00,STEADY
"Seoul, KR [AWS] - DNS",DNS,"Seoul, KR",AWS,10,67,89,164,427977.64,81,80,1.25,STEADY
"Seoul, KR [AWS] - HTTP",HTTP,"Seoul, KR",AWS,10,719,752,846,1303478.89,747,761,-1.84,STEADY
"Seoul, KR [AWS] - PING",PING,"Seoul, KR",AWS,10,210,216,232,1398.76,214,232,-7.76,STEADY
Singapore (Singapore),OTHER,Singapore (Singapore),N/A,7,118,176,344,26169071.04,124,344,-63.95,IMPROVED
"Singapore, SG [AWS] - DNS",DNS,"Singapore, SG",AWS,10,69,117,306,23469180.25,80,77,3.90,STEADY
"Singapore, SG [AWS] - HTTP",HTTP,"Singapore, SG",AWS,10,806,877,1032,31814112.16,843,863,-2.32,STEADY
"Singapore, SG [AWS] - PING",PING,"Singapore, SG",AWS,10,240,251,298,77339.61,241,262,-8.02,STEADY
"Stockholm, SE [AWS] - DNS",DNS,"Stockholm, SE",AWS,10,61,81,158,614342.44,61,72,-15.28,STEADY
"Stockholm, SE [AWS] - HTTP",HTTP,"Stockholm, SE",AWS,10,371,420,513,3863190.25,390,440,-11.36,STEADY
"Stockholm, SE [AWS] - PING",PING,"Stockholm, SE",AWS,10,100,111,157,88030.89,103,101,1.98,STEADY
Sydney (Australia),OTHER,Sydney (Australia),N/A,7,25,66,185,7052059.61,30,185,-83.78,IMPROVED
"Sydney, AU [AWS] - DNS",DNS,"Sydney, AU",AWS,10,65,95,164,540078.01,90,65,38.46,STEADY
"Sydney, AU [AWS] - HTTP",HTTP,"Sydney, AU",AWS,10,721,777,958,38395372.96,730,866,-15.70,STEADY
"Sydney, AU [AWS] - PING",PING,"Sydney, AU",AWS,10,209,215,238,7885.44,209,229,-8.73,STEADY
São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,7,25,125,385,477834617.47,35,330,-89.39,IMPROVED
"São Paulo, BR [AWS] - DNS",DNS,"São Paulo, BR",AWS,10,52,83,156,623942.01,90,52,73.08,DEGRADED
"São Paulo, BR [AWS] - HTTP",HTTP,"São Paulo, BR",AWS,10,430,480,539,837774.09,472,470,0.43,STEADY
"São Paulo, BR [AWS] - PING",PING,"São Paulo, BR",AWS,10,123,134,173,79073.44,125,123,1.63,STEADY
Tokyo (Japan),OTHER,Tokyo (Japan),N/A,7,240,350,960,3838953086.22,245,960,-74.48,IMPROVED
"Tokyo, JP [AWS] - DNS",DNS,"Tokyo, JP",AWS,10,64,93,168,861555.24,90,64,40.62,STEADY
"Tokyo, JP [AWS] - HTTP",HTTP,"Tokyo, JP",AWS,10,640,685,822,14675794.81,651,707,-7.92,STEADY
"Tokyo, JP [AWS] - PING",PING,"Tokyo, JP",AWS,10,179,187,211,9447.84,185,211,-12.32,STEADY
