2025-12-28 21:07:07 | [UP] MA Connect Website             | Type: http | Response: 0.30s
2025-12-28 21:07:08 | [UP] Router (ping)                  | Type: ping | Response: 0.67s
2025-12-28 21:07:08 | [UP] Google DNS                     | Type: ping | Response: 0.68s
2025-12-28 21:07:36 | [UP] Mastercard Website             | Type: http | Response: 0.03s
2025-12-28 21:07:36 | [UP] GitHub                         | Type: http | Response: 0.03s
2025-12-28 21:07:36 | [UP] Home Router                    | Type: http | Response: 0.06s
2025-12-28 21:07:36 | [UP] Google                         | Type: http | Response: 0.11s
2025-12-28 21:07:36 | [UP] George Maddaloni Website       | Type: http | Response: 0.23s
2025-12-28 21:07:36 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.24s
2025-12-28 21:07:37 | [UP] MA Connect Website             | Type: http | Response: 0.28s
2025-12-28 21:07:38 | [UP] Router (ping)                  | Type: ping | Response: 0.67s
2025-12-28 21:07:38 | [UP] Google DNS                     | Type: ping | Response: 0.68s
2025-12-28 21:08:06 | [UP] Mastercard Website             | Type: http | Response: 0.03s
2025-12-28 21:08:06 | [UP] GitHub                         | Type: http | Response: 0.03s
2025-12-28 21:08:06 | [UP] Home Router                    | Type: http | Response: 0.04s
2025-12-28 21:08:06 | [UP] Google                         | Type: http | Response: 0.11s
2025-12-28 21:08:06 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.24s
2025-12-28 21:08:07 | [UP] George Maddaloni Website       | Type: http | Response: 0.26s
2025-12-28 21:08:07 | [UP] MA Connect Website             | Type: http | Response: 0.30s
2025-12-28 21:08:08 | [UP] Router (ping)                  | Type: ping | Response: 0.68s
2025-12-28 21:08:08 | [UP] Google DNS                     | Type: ping | Response: 0.68s
2025-12-28 21:08:36 | [UP] GitHub                         | Type: http | Response: 0.03s
2025-12-28 21:08:36 | [UP] Mastercard Website             | Type: http | Response: 0.03s
2025-12-28 21:08:36 | [UP] Home Router                    | Type: http | Response: 0.04s
2025-12-28 21:08:36 | [UP] Google                         | Type: http | Response: 0.11s
2025-12-28 21:08:36 | [UP] MA Connect Website             | Type: http | Response: 0.23s
2025-12-28 21:08:36 | [UP] George Maddaloni Website       | Type: http | Response: 0.24s
2025-12-28 21:08:36 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.24s
2025-12-28 21:08:38 | [UP] Router (ping)                  | Type: ping | Response: 0.67s
2025-12-28 21:08:38 | [UP] Google DNS                     | Type: ping | Response: 0.68s
2025-12-28 21:12:59 | [UP] Router                                        | Type: ping | Response: 673ms
2025-12-28 21:12:57 | [UP] Home Router                                   | Type: http | Response: 40ms
2025-12-28 21:12:57 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:12:57 | [UP] GitHub                                        | Type: http | Response: 156ms
2025-12-28 21:12:57 | [UP] Mastercard Website                            | Type: http | Response: 160ms
2025-12-28 21:12:57 | [UP] Google                                        | Type: http | Response: 217ms
2025-12-28 21:12:57 | [UP] George Maddaloni Website                      | Type: http | Response: 271ms
2025-12-28 21:12:57 | [UP] San Jose DNS (California, USA)                | Type: dns | Response: 0ms
2025-12-28 21:12:57 | [UP] Singapore CDN (Singapore)                     | Type: dns | Response: 0ms
2025-12-28 21:12:57 | [UP] Tokyo DNS (Japan)                             | Type: dns | Response: 0ms
2025-12-28 21:12:57 | [UP] Frankfurt CDN (Germany)                       | Type: dns | Response: 0ms
2025-12-28 21:12:57 | [UP] Pune DNS (India)                              | Type: dns | Response: 60ms
2025-12-28 21:12:57 | [UP] Melbourne DNS (Australia)                     | Type: dns | Response: 58ms
2025-12-28 21:12:58 | [UP] Cape Town DNS (South Africa)                  | Type: dns | Response: 820ms
2025-12-28 21:12:59 | [UP] Ashburn DNS (Virginia, USA)                   | Type: ping | Response: 676ms
2025-12-28 21:12:59 | [UP] Sydney CDN (Australia)                        | Type: ping | Response: 676ms
2025-12-28 21:12:59 | [UP] London DNS (UK)                               | Type: ping | Response: 679ms
2025-12-28 21:12:59 | [UP] Dallas DNS (Texas, USA)                       | Type: ping | Response: 679ms
2025-12-28 21:12:59 | [UP] Paris CDN (France)                            | Type: ping | Response: 683ms
2025-12-28 21:12:59 | [UP] Bangkok DNS (Thailand)                        | Type: ping | Response: 694ms
2025-12-28 21:12:59 | [UP] Johannesburg DNS (South Africa)               | Type: ping | Response: 754ms
2025-12-28 21:13:05 | [DOWN] Mumbai DNS (India)                            | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:05 | [DOWN] Riyadh DNS (Saudi Arabia)                     | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:05 | [DOWN] São Paulo DNS (Brazil)                        | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:05 | [DOWN] Mexico City DNS (Mexico)                      | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:05 | [DOWN] Dubai DNS (UAE)                               | Type: ping | Response: 0ms | Error: Host unreachable
2025-12-28 21:13:29 | [UP] Router                                        | Type: ping | Response: 677ms
2025-12-28 21:13:27 | [DOWN] MA Connect Website                            | Type: http | Response: 0ms | Error: Get "https://maconnect.mastercard.com": dial tcp: lookup maconnect.mastercard.com: no such host
2025-12-28 21:13:27 | [UP] GitHub                                        | Type: http | Response: 20ms
2025-12-28 21:13:27 | [UP] Mastercard Website                            | Type: http | Response: 26ms
2025-12-28 21:13:27 | [UP] Home Router                                   | Type: http | Response: 40ms
2025-12-28 21:13:27 | [UP] Google                                        | Type: http | Response: 101ms
2025-12-28 21:13:27 | [UP] George Maddaloni Website                      | Type: http | Response: 242ms
